stationName;KISID;typeStation;lat;lon;altitude;startDate;endDate;locationCode
Den Helder;230_H;hoofd station/AWS/SHIP DEN HELDER;52.966667;4.758889;9999;19060101;19720430;
Den Helder;9_N;Neerslagstation (8-8);52.933333;4.75;9999;18510101;19721231;
Den Hulst OV;303_N;Neerslagstation (8-8);52.318611;6.945556;9999;19970110;17000101;
Den Oever;239_N;Neerslagstation (8-8);52.928678;5.025914;1.35;19510101;99991231;
Denekamp;331_N;Neerslagstation (8-8);52.380056;7.032694;24.2;19050101;99991231;
Deurne;908_N;Neerslagstation (8-8);51.443306;5.770306;23.85;19510101;99991231;
Deventer;689_N;Neerslagstation (8-8);52.257111;6.217167;6.75;20060128;99991231;
Deventer;677_N;Neerslagstation (8-8);52.263056;6.172778;65;19510101;20060131;
Diepenveen;603_H;hoofd station/AWS/SHIP, DIEPENVEEN;52.310556;6.189444;9999;19801103;19911231;
Dinther;911_N;Neerslagstation (8-8);51.636167;5.496722;7.5;19510101;99991231;
Dirksland;462_N;Neerslagstation (8-8);51.749389;4.0885;.64;19510101;99991231;
Doetinchem;667_N;Neerslagstation (8-8);51.991528;6.288111;11;19510101;99991231;
Dokkum;67_N;Neerslagstation (8-8);53.318667;5.981722;.9;19510101;99991231;
Doorn;509_N;Neerslagstation (8-8);52.020889;5.337639;4.5;19890101;99991231;
Doorn (kasteel);527_N;Neerslagstation (8-8);52.0325;5.339444;9999;19970110;17000101;
Dordrecht;459_N;Neerslagstation (8-8);51.812778;4.678333;9999;19510101;20040501;
Drachten;73_N;Neerslagstation (8-8);53.118361;6.091917;2.7;19510101;99991231;
Dreischor;721_N;Neerslagstation (8-8);51.691944;3.9875;9999;19970110;17000101;
Driebergen;566_N;Neerslagstation (8-8);52.066667;5.283333;9999;19510101;19540720;
Dronten;364_N;Neerslagstation (8-8);52.544583;5.854667;1.4;19590101;99991231;
Duindag bij Den Haag;423_N;Neerslagstation (8-8);52.118056;4.308611;9999;19970110;17000101;
Duiven;588_N;Neerslagstation (8-8);51.953944;6.027611;10.5;19530201;99991231;
Dwingelo;327_N;Neerslagstation (8-8);52.823056;6.410889;12;19111001;99991231;
Echt;979_N;Neerslagstation (8-8);51.081556;5.908694;33.11;19710101;99991231;
Echt;164_H;Termijnstation;51.091389;5.909167;341;19720101;19891211;
Edam;224_N;Neerslagstation (8-8);52.509472;5.049417;1.4;19510101;99991231;
Eelde;280_V;AWS;53.123611;6.584722;5.2;19060101;99991231;
Eelde;280_H;AWS;53.123611;6.584722;5.2;19060101;99991231;
Eelde;280_B;Bodemtemperaturen;53.123611;6.584722;5.2;19510101;19910819;
Eelde;280_L;luchtvaart station Eelde;53.123611;6.584722;5.2;19510101;99991231;
Eelde;161_N;Neerslagstation (8-8);53.122472;6.568833;4.3;19510101;99991231;
Eelde;280_Z;Zonneschijn;53.123611;6.584722;5.2;19930210;19931210;
Eelde locatie 23t;280_A_23t;Luchtdruk- en weerwaarnemingen;53.123611;6.584722;5.2;20020101;99991231;23t;
Eelde locatie 23t;280_R_23t;Neerslagwaarnemingen;53.123611;6.584722;5.2;20020101;99991231;23t;
Eelde locatie 23t;280_S_23t;Straling/zonneschijn;53.123611;6.584722;5.2;20020101;99991231;23t;
Eelde locatie 23t;280_T_23t;Temperatuurwaarnemingen;53.123611;6.584722;5.2;20020101;99991231;23t;
Eelde locatie 23t;280_W_23t;Windwaarnemingen;53.123611;6.584722;5.2;20020101;99991231;23t;
Eelde locatie 23t;280_C_23t;Wolkenwaarnemingen;53.123611;6.584722;5.2;20020101;99991231;23t;
Eemnes;596_N;Neerslagstation (8-8);52.276111;5.276389;0;19961101;99991231;
Eemshaven;614_H;hoofd station/AWS/SHIP, EEMSHAVEN;53.336667;6.92;9999;19840101;19921020;
Eenrum;154_N;Neerslagstation (8-8);53.365333;6.464056;.54;19510101;99991231;
Eerbeek;557_N;Neerslagstation (8-8);52.112;6.066833;14.81;19510101;99991231;
Eernewoude;90_N;Neerslagstation (8-8);53.149917;5.939361;-1.1;19510101;99991231;
Eersel;915_N;Neerslagstation (8-8);51.36375;5.261333;29.2;19510101;99991231;
Eethen;812_N;Neerslagstation (8-8);51.731389;5.051667;9999;19970110;17000101;
Eext;155_N;Neerslagstation (8-8);53.001444;6.740361;17.73;19510101;99991231;
Eijsden-Breust;950_N;Neerslagstation (8-8);50.777222;5.710833;540;19920101;20040303;
Eindhoven;370_H;AWS;51.449722;5.376944;22.6;19510101;99991231;
Eindhoven;370_V;AWS;51.449722;5.376944;22.6;19510101;99991231;
Eindhoven;370_L;luchtvaart station, Eindhoven;51.449722;5.376944;22.6;19510101;99991231;
Eindhoven;902_N;Neerslagstation (8-8);51.416944;5.48;181;19510101;20101231;
Eindhoven;370_C_a;Wolkenwaarnemingen;51.449722;5.376944;22.6;17000101;99991231;a;
Eindhoven backup;99370_H;AWS;51.449722;5.376944;22.6;20170501;99991231;
Eindhoven locatie 04t;370_W_04t;Windwaarnemingen;51.449722;5.376944;22.6;20041110;99991231;04t;
Eindhoven locatie 22t;370_A_22t;Luchtdruk- en weerwaarnemingen;51.449722;5.376944;22.6;20091201;99991231;22t;
Eindhoven locatie 22t;370_S_obs22t;Straling/zonneschijn;51.449722;5.376944;22.6;20050421;99991231;obs22t;
Eindhoven locatie 22t;370_T_22t;Temperatuurwaarnemingen;51.449722;5.376944;22.6;20060101;99991231;22t;
Eindhoven locatie 22t;370_W_22t;Windwaarnemingen;51.449722;5.376944;22.6;20041110;99991231;22t;
Eindhoven locatie A;370_A_a;Luchtdruk- en weerwaarnemingen;51.449722;5.376944;22.6;20091201;99991231;a;
Eindhoven locatie A;370_R_a;Neerslagwaarnemingen;51.449722;5.376944;22.6;20041111;99991231;a;
Eindhoven locatie A;370_S_a;Straling/zonneschijn;51.449722;5.376944;22.6;20030101;99991231;a;
Eindhoven locatie A;370_T_a;Temperatuurwaarnemingen;51.449722;5.376944;22.6;20060101;99991231;a;
Eindhoven locatie A;370_W_a;Windwaarnemingen;51.449722;5.376944;22.6;20041110;99991231;a;
Eindhoven locatie obs04t;370_A_obs04t;Luchtdruk- en weerwaarnemingen;51.449722;5.376944;22.6;20091201;99991231;obs04t;
Eindhoven locatie obs04t;370_T_obs04t;Temperatuurwaarnemingen;51.449722;5.376944;22.6;20060101;99991231;obs04t;
Eindhoven locatie obs04t;370_W_obs04t;Windwaarnemingen;51.449722;5.376944;22.6;20041110;99991231;obs04t;
Eindhoven locatie obs22t;370_A_obs22t;Luchtdruk- en weerwaarnemingen;51.449722;5.376944;22.6;20091201;99991231;obs22t;
Eindhoven locatie obs22t;370_R_obs22t;Neerslagwaarnemingen;51.449722;5.376944;22.6;20050421;99991231;obs22t;
